Gender,Tag,Response,N,left_wing_tolerance,right_wing_tolerance,average_tolerance
Men,Joke,contestant,1,100.0,100.0,100.0
Men,Joke,CHRIST IS KING,1,66.7,88.9,77.8
Men,Joke,Nunya,1,55.6,100.0,77.8
Men,Joke,Atheist. Does metamodernism count?,1,88.9,44.4,66.6
Men,Joke,Fuck off,1,55.6,44.4,50.0
Men,Joke,"3, 6, 9",1,33.3,55.6,44.4
Men,Joke,I believe in GOD!,1,33.3,55.6,44.4
Men,Joke,Christ is King,1,0.0,66.7,33.4
Men,Joke,Disciple of Cthulu,1,55.6,11.1,33.4
Men,Joke,Amari,1,33.3,33.3,33.3
Men,Joke,Catholic and Vietnamese Buddhism Cult,1,33.3,33.3,33.3
Men,Joke,Pastafarian,1,33.3,33.3,33.3
Men,Joke,Money,1,22.2,33.3,27.8
Men,Joke,Satanism,1,55.6,0.0,27.8
Men,Joke,Spaghetti Monsters,1,55.6,0.0,27.8
Men,Joke,Baseball Gods,1,22.2,22.2,22.2
Men,Joke,im in direct communication with god,1,0.0,0.0,0.0
Men,Long explanation,Anglican. Common mistake that there is an assumed binary between Catholic and Protestant (Anglican is neither),1,100.0,100.0,100.0
Men,Long explanation,"Believe in God, don't subscribe to a specific religion. But certainly not Athiest or Agnostic",1,100.0,100.0,100.0
Men,Long explanation,Don't do religion as that's slavery to control the masses... I have a soul and into high level spiritualism and metaphysics.,1,100.0,100.0,100.0
Men,Long explanation,"Lutheran (LCMS) (the original Protestants, who are very different from Baptists, Methodists, Pentecostals, and especially Jehovah's Witnesses, who are not Christian. I will not select an option that includes Jehovah's Witnesses in the list of examples.) (By the way, JWs don't even consider themselves to be Protestants either: https://www.jw.org/en/jehovahs-witnesses/faq/are-jehovahs-witnesses-protestants/)",1,100.0,100.0,100.0
Men,Long explanation,I believe in god but I have a hard time believing modern religions.,1,66.7,88.9,77.8
Men,Long explanation,Im diving into christianity and I want to believe in god.,1,66.7,66.7,66.7
Men,Long explanation,I grew up Mormon but do not know where I stand with religion as of now,1,66.7,33.3,50.0
Men,Long explanation,Agnostic atheist (don’t possess a belief in any gods but don’t claim to know for sure whether they exist),1,44.4,44.4,44.4
Men,Long explanation,"Spiritually minded, I do not subscribe to one religion",1,44.4,44.4,44.4
Men,Long explanation,I believe that interpretation (the act of bridging the gap (communicating between two entirely seperate souls)) is god. Art is religious ritual because it engages in interpretation. interpretation is the unknown that affects our lives for eternity - it is the single unknown that rules our universe and therefore is god.,1,44.4,22.2,33.3
Men,Long explanation,Agnostic: I believe that there’s some higher power out there but there is no evidence of what it is.,1,33.3,22.2,27.8
Women,Joke,"All of the above, believe in every religion",1,100.0,100.0,100.0
Women,Joke,Believe in All,1,66.7,66.7,66.7
Women,Joke,Witch,1,66.7,66.7,66.7
Women,Joke,Christian!,1,33.3,66.7,50.0
Women,Joke,I forget,1,44.4,44.4,44.4
Women,Joke,i don’t care,1,77.8,11.1,44.4
Women,Joke,Witchcraft,1,55.6,22.2,38.9
Women,Joke,everything,1,66.7,0.0,33.4
Women,Joke,Everything,1,44.4,22.2,33.3
Women,Joke,Satanist/Atheist,1,33.3,33.3,33.3
Women,Joke,Do not believe in milarchy,1,0.0,0.0,0.0
Women,Joke,satanist,1,0.0,0.0,0.0
Women,Long explanation,Wouldn’t consider myself LDS but I participate in that church,1,100.0,100.0,100.0
Women,Long explanation,"I believe there is divine intervention, but not people’s version of God, which is all powerful, all knowing, and all loving.",1,66.7,66.7,66.7
Women,Long explanation,"I grew up attending a Lutheran Christian church, but I'm open to learning about other religions",1,77.8,33.3,55.6
Women,Long explanation,Working to get baptized. Inspiring Christian,1,66.7,44.4,55.6
Women,Long explanation,Christianity (but actually living what the Bible teaches),1,33.3,66.7,50.0
Women,Long explanation,Spritual with an emphasis on indigenous Yoruba religious practices,1,100.0,0.0,50.0
Women,Long explanation,I believe in a God but don’t associate with a particular religion,1,77.8,11.1,44.4
Women,Long explanation,"Raised Catholic, but love Islam. Overall, I believe in God.",1,55.6,22.2,38.9
Women,Long explanation,raised methodist- not practicing anymore,1,66.7,0.0,33.4
Women,Long explanation,"Scholar of different religions, started Christian",1,33.3,33.3,33.3
Women,Long explanation,Grew up catholic and no longer religious,1,22.2,0.0,11.1
