Gender,Sexual orientation,Response,Tag,N,left_wing_tolerance,right_wing_tolerance
Men,Straight (Heterosexual): 30; Bisexual: 1; Queer/Questioning/Other: 1,Sikh,Normal,32,41.3,38.5
Men,Straight (Heterosexual): 28; Bisexual: 1,Lutheran,Normal,29,37.5,56.7
Men,Straight (Heterosexual): 12; Gay/Lesbian: 2; Queer/Questioning/Other: 2,Spiritual,Normal,16,53.5,41.7
Men,Straight (Heterosexual): 13; Queer/Questioning/Other: 1,Christian,Normal,14,42.1,58.7
Men,Straight (Heterosexual): 11; Bisexual: 2,Jain,Normal,13,39.3,43.6
Men,Gay/Lesbian: 1; Bisexual: 3; Queer/Questioning/Other: 3; Missing: 1,Pagan,Unusual,8,55.6,23.6
Men,Straight (Heterosexual): 6; Gay/Lesbian: 1,Catholic,Normal,7,41.3,50.8
Men,Straight (Heterosexual): 5; Bisexual: 1; Missing: 1,Prefer not to say,Other,7,52.4,44.4
Men,Straight (Heterosexual): 4; Gay/Lesbian: 2,Episcopalian,Normal,6,50.0,44.4
Men,Straight (Heterosexual),Sikhism,Normal,6,37.0,44.4
Men,Straight (Heterosexual): 4; Missing: 1,Presbyterian,Normal,5,22.2,40.0
Men,Straight (Heterosexual),sikh,Normal,5,22.2,22.2
Men,Straight (Heterosexual): 2; Gay/Lesbian: 1; Queer/Questioning/Other: 1,Deist,Unusual,4,72.2,72.2
Men,Straight (Heterosexual): 3; Bisexual: 1,Episcopal,Normal,4,36.1,30.6
Men,Straight (Heterosexual),Seventh day Adventist,Normal,4,52.8,50.0
Men,Straight (Heterosexual),.,Other,3,14.8,44.4
Men,Straight (Heterosexual),Anglican,Normal,3,51.8,55.6
Men,Straight (Heterosexual),Coptic orthodox,Normal,3,48.2,25.9
Men,Straight (Heterosexual),Jainism,Normal,3,18.5,33.3
Men,Straight (Heterosexual),Non denominational Christian,Normal,3,37.0,55.5
Men,Straight (Heterosexual),None,Other,3,29.6,14.8
Men,Straight (Heterosexual),Not sure,Other,3,59.3,55.6
