Gender,Sexual orientation,Sexual orientation code,Response,Tag,left_wing_tolerance,right_wing_tolerance
Men,Straight (Heterosexual),1,.,Other,11.1,44.4
Men,Straight (Heterosexual),1,.,Other,0.0,55.6
Men,Straight (Heterosexual),1,.,Other,33.3,33.3
Men,Straight (Heterosexual),1,"3, 6, 9",Joke,33.3,55.6
Men,Bisexual,3,Adventist,Normal,0.0,0.0
Men,Straight (Heterosexual),1,Agnostic atheist,Normal,88.9,88.9
Men,Straight (Heterosexual),1,Agnostic atheist (don’t possess a belief in any gods but don’t claim to know for sure whether they exist),Long explanation,44.4,44.4
Men,Straight (Heterosexual),1,Agnostic but looking into Christianity,Short explanation,0.0,0.0
Men,Queer/Questioning/Other,4,Agnostic: I believe that there’s some higher power out there but there is no evidence of what it is.,Long explanation,33.3,22.2
Men,Straight (Heterosexual),1,Amari,Joke,33.3,33.3
Men,Straight (Heterosexual),1,Anglican,Normal,44.4,55.6
Men,Straight (Heterosexual),1,Anglican,Normal,44.4,44.4
Men,Straight (Heterosexual),1,Anglican,Normal,66.7,66.7
Men,Gay/Lesbian,2,Anglican. Common mistake that there is an assumed binary between Catholic and Protestant (Anglican is neither),Long explanation,100.0,100.0
Men,Straight (Heterosexual),1,Atheist. Does metamodernism count?,Joke,88.9,44.4
Men,Straight (Heterosexual),1,Bahai,Normal,44.4,22.2
Men,Straight (Heterosexual),1,Baptist,Normal,55.6,44.4
Men,Straight (Heterosexual),1,Baptist,Normal,11.1,77.8
Men,Straight (Heterosexual),1,Baseball Gods,Joke,22.2,22.2
Men,Straight (Heterosexual),1,Believe in God,Short explanation,33.3,33.3
Men,Straight (Heterosexual),1,"Believe in God, don't subscribe to a specific religion. But certainly not Athiest or Agnostic",Long explanation,100.0,100.0
Men,Straight (Heterosexual),1,"Believe in God, no particular religion",Short explanation,33.3,22.2
Men,Straight (Heterosexual),1,Believe in Jesus,Short explanation,22.2,44.4
Men,Straight (Heterosexual),1,Believer,Normal,33.3,44.4
Men,Straight (Heterosexual),1,Believer in God,Normal,44.4,33.3
Men,Straight (Heterosexual),1,Bi-ritual Catholic (Roman and Byzantine),Short explanation,33.3,77.8
Men,Queer/Questioning/Other,4,Both Buddhist and Christian,Short explanation,44.4,66.7
