Variable,VariableLabel,Value,ValueLabel
caseid,Respondent ID,99,Skipped/Missing
weight,National weight,,
birthyr,Year of birth,99,Skipped/Missing
surveyyear,Survey year and quarter,,
surveymonth,Survey month,,
survey,NSI Survey,1,Jn2024
,,2,Ap2024
,,3,Jl2024
,,4,Oc2024
,,5,Jn2025
,,6,Ap2025
,,7,Jl2025
,,8,Oc2025
,,9,Jn2026
gender,Gender,1,Male
,,2,Female
,,99,Skipped/Missing
race,Race/ethnicity,1,White
,,2,Black
,,3,Hispanic
,,4,Asian
,,5,Native American
,,6,Two or more races
,,7,Other
,,8,Middle Eastern
,,99,Skipped/Missing
hispanic,Hispanic ethinicity,1,Yes
,,2,No
,,99,Skipped/Missing
educ,Education level,1,No high school
,,2,High school graduate
,,3,Some college
,,4,2-year degree
,,5,4-year degree
,,6,Post-grad
,,99,Skipped/Missing
marstat,Marital status,1,Married
,,2,Seperated
,,3,Divorced
,,4,Widowed
,,5,Never married
,,6,Domestic/civil partnership
,,99,Skipped/Missing
employ,Emploment status,1,Full-time
,,2,Part-time
,,3,Temporarily laid off
,,4,Unemployed
,,5,Retired
,,6,Permanently disabled
,,7,Homemaker
,,8,Student
,,9,Other
,,99,Skipped/Missing
faminc_new,Family income,1,"Less than $10,000"
,,2,"$10,000 - $19,999"
,,3,"$20,000 - $29,999"
,,4,"$30,000 - $39,999"
,,5,"$40,000 - $49,999"
,,6,"$50,000 - $59,999"
,,7,"$60,000 - $69,999"
,,8,"$70,000 - $79,999"
,,9,"$80,000 - $99,999"
,,10,"$100,000 - $119,999"
,,11,"$120,000 - $149,999"
,,12,"$150,000 - $199,999"
,,13,"$200,000 - $249,999"
,,14,"$250,000 - $349,999"
,,15,"$350,000 - $499,999"
,,16,"$500,000 or more"
,,97,Prefer not to say
,,99,Skipped/Missing
child18,Children under 18 in household?,1,Yes
,,2,No
,,99,Skipped/Missing
pid3,Party ID - Binned,1,Democrat
,,2,Republican
,,3,Independent
,,4,Other
,,5,Not sure
,,99,Skipped/Missing
pid7,Party ID,1,Strong Democrat
,,2,Not very strong Democrat
,,3,Lean Democrat
,,4,Independent
,,5,Lean Republican
,,6,Not very strong Republican
,,7,Strong Republican
,,8,Not sure
,,99,Skipped/Missing
,,9,Don't know
presvote20post,Presidential vote in 2020 election,1,Joe Biden
,,2,Donald Trump
,,3,Jo Jorgensen
,,4,Howie Hawkins
,,5,Other
,,6,Did not vote for President
,,99,Skipped/Missing
turnout24post,Voted in 2024 Presidential election?,1,Yes
,,2,No
,,99,Skipped/Missing
presvote24post,Presidential vote in 2024 election,1,Kamala Harris
,,2,Donald Trump
,,3,Robert F. Kennedy Jr.
,,4,Jill Stein
,,5,Cornel West
,,6,Chase Oliver
,,8,Other
,,9,Did not vote for President
,,99,Skipped/Missing
inputstate,State of residence,1,Alabama
,,2,Alaska
,,4,Arizona
,,5,Arkansas
,,6,California
,,8,Colorado
,,9,Connecticut
,,10,Delaware
,,11,District of Columbia
,,12,Florida
,,13,Georgia
,,15,Hawaii
,,16,Idaho
,,17,Illinois
,,18,Indiana
,,19,Iowa
,,20,Kansas
,,21,Kentucky
,,22,Louisiana
,,23,Maine
,,24,Maryland
,,25,Massachusetts
,,26,Michigan
,,27,Minnesota
,,28,Mississippi
,,29,Missouri
,,30,Montana
,,31,Nebraska
,,32,Nevada
,,33,New Hampshire
,,34,New Jersey
,,35,New Mexico
,,36,New York
,,37,North Carolina
,,38,North Dakota
,,39,Ohio
,,40,Oklahoma
,,41,Oregon
,,42,Pennsylvania
,,44,Rhode Island
,,45,South Carolina
,,46,South Dakota
,,47,Tennessee
,,48,Texas
,,49,Utah
,,50,Vermont
,,51,Virginia
,,53,Washington
,,54,West Virginia
,,55,Wisconsin
,,56,Wyoming
,,60,American Samoa
,,64,Federated States of Micronesia
,,66,Guam
,,68,Marshall Islands
,,69,Northern Mariana Islands
,,70,Palau
,,72,Puerto Ric0
,,74,U.S. Minor Outlying Islands
,,78,Virgin Islands
,,99,Skipped/Missing
