surveyyear,surveymonth,survey,caseid,weight,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote20post,turnout24post,presvote24post,inputstate,urbancity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,tracker,firstamend,secure,losejob,scmonth,mostoffensive,comspeech,tchcollege,keeplib,fired,colpol,shoutdown_gp,violence_gp,confbiden,conftrump,encterrifying,encintimidating,encthreatening,encharassing,encannoying,encdisturbing,encindecent,gtrustterrifying,gtrustintimidating,gtrustthreatening,gtrustharassing,gtrustannoying,gtrustdisturbing,gtrustindecent,stdntipcprotests,colipcprotests,censorhamas,ballotrght,criticizerght,speekfreelyrght,profanityrght,parodyrght,ballotimpt,criticizeimpt,speekfreelyimpt,profanityimpt,pardoyimpt,wordsviolence,confharris,offendtrans,offendabortion,offendblm,offendillegalimmig,offendchurch,offendpolice,offend911,offendchildren,ballotselfie,confsupcrt,confnewsom,rescindfunds_antisem,rescindfunds_propalestine,rescindfunds_dei,deportstdnt_propalestine,deportforeign_propalestine,deportforeign_tattoo,ps_preventbook,ps_preventsexidbook,ps_preventgenderidbook,ps_preventraceidbook,consequences,wordsviolence_matrix,silenceviolence,polviol_prog,polviol_cons,polviol_allgrps,punchnazi,biblethumpers,maga_prof,indoctrinate,jawbone_socmedia,jawbone_video,jawbone_tech,jawbone_prvtbroadcast,jawbone_banks,govtreg_ai,daily_ai,expressreg_ai,socmedia_ai,govtcrit_ai,parody_ai,account_ai
2024,April,2,1544314260,0.809600028,1991,1,1,2,99,1,2,11,1,1,1,1,98,98,6,98,1,2,2,4,2,1,2,2,1,2,4,2,4,98,98,98,98,98,4,2,1,3,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543689474,0.571228971,1967,1,3,1,2,1,1,8,1,2,7,2,98,98,36,98,1,4,1,2,2,1,1,2,1,99,3,3,3,98,98,98,98,98,1,4,4,2,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544287170,1.516774854,1964,2,2,2,2,5,4,2,2,1,1,1,98,98,11,98,1,3,4,1,6,1,2,5,1,5,3,5,2,98,98,98,98,98,3,4,4,2,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314094,1.174491384,1970,2,5,2,2,4,2,5,2,2,7,2,98,98,54,98,1,3,1,11,5,2,3,5,2,1,1,5,2,98,98,98,98,98,2,4,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543689188,0.881011983,1979,1,1,2,6,1,2,11,2,1,1,1,98,98,36,98,1,1,1,5,6,2,4,7,1,5,4,4,2,98,98,98,98,98,4,2,4,99,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314288,1.277027729,1975,1,4,2,99,99,4,1,2,3,4,2,98,98,6,98,1,2,4,1,6,1,1,1,2,5,1,1,3,98,98,98,98,98,1,4,4,1,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1543469192,0.881502718,1966,1,1,2,99,1,1,14,2,2,6,6,98,98,33,98,1,3,1,11,6,2,4,6,2,99,3,4,4,98,98,98,98,98,3,3,4,3,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314442,1.19906093,1968,2,1,2,2,1,4,7,2,2,7,2,98,98,37,98,1,4,3,1,5,1,1,3,2,5,1,3,2,98,98,98,98,98,3,4,4,2,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314546,0.759139203,1980,2,1,2,2,1,7,6,2,3,4,6,98,98,54,98,1,6,4,12,5,2,2,6,1,99,4,3,2,98,98,98,98,98,2,4,4,3,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2024,April,2,1544314296,1.057366593,1977,2,1,2,2,1,7,8,2,2,7,2,98,98,36,98,1,4,1,11,6,2,3,5,2,5,1,4,3,98,98,98,98,98,1,2,4,1,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
