"selfcensor","adminclear","admincontr","worryrep","worryjob","fa_insult","fa_offen","fa_teach","fa_emot","fa_unrest","scotus_harass","obama_harass","priority","direction","studentcon","facoffen","facquote","faccomf","train_knowl","train_norms","train_prac","train_phil","train_skill","train_const","train_rule","train_disag","train_engage","sup_session","sup_acadpol","sup_exprpol","sup_event","judgeideo","judgeT14","judgeview","judgeteach","spmargin","spdiff","deihire","deitenure","polclimate","polhide","hirecons","hirelib","mentorcons","mentorlib","clerkcons","clerklib","fitlib","fitcons","col_hirecons","col_hirelib","col_mentorcons","col_mentorlib","col_clerkcons","col_clerklib","educontext","FLDF","Position","Area","Degree_1","Degree_2","Degree_3","Degree_4","Degree_5","Gender","Race","Ideo","ideobin","Party","age_5cat","Religion","Religion2"
"Occasionally","Somewhat clear","Not very likely","Not too worried","Not too worried","Some protection","Complete protection","Complete protection","Don’t know / uncertain","Don’t know / uncertain","Probably too broad","Definitely too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Neither acceptable nor unacceptable","Mostly acceptable","Somewhat comfortable","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat oppose this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat supportive","Never","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Very familiar","Associate Professor","First Amendment law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","35-44","Agnostic",
"Rarely","Somewhat clear","Not very likely","Not too worried","Not too worried","Minimal protection","Some protection","Complete protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority",,"Often","Neither acceptable nor unacceptable","Mostly acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Somewhat support this position","This is rarely justifiable","This is rarely justifiable","Somewhat supportive","Never","Rarely","Rarely","Rarely","Rarely","Never","Rarely","Somewhat positive fit","Neither poor nor positive fit","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","Somewhat familiar","Chaired or Distinguished Professor","Criminal law","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Nothing in Particular",
"Occasionally","Not very clear","Somewhat likely","Somewhat worried","Very worried","Complete protection","Complete protection","Complete protection","Some protection","Complete protection","Probably too broad","Probably too broad","Protecting free expression","Right track","Always","Mostly unacceptable","Mostly acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Extremely unjustified","Extremely unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Somewhat supportive","Rarely","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Rarely","Never","Never","Never","Never","Never",,"Never heard of it","Adjunct / Lecturer","Other","J.D.",,,,,"Female","White or Caucasian","Moderate, middle-of-the-road","moderate","Lean Democrat","55-64","Jewish",
"Never","Very clear",,"Not at all worried","Not at all worried","Some protection","Complete protection","Complete protection","Some protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Wrong direction","Always","Mostly acceptable","Completely acceptable","Very comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Neither oppose nor support","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are mostly politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Strongly support this position","This is sometimes justifiable","This is sometimes justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Never","Never","Never","Never","Never","Never","Neither / don’t know","Never heard of it","Adjunct / Lecturer","Other","J.D.",,,,,"Male","White or Caucasian","Conservative","conservative","Lean Republican","65+","Mainline Protestant",
"Fairly often, a couple times a week","Somewhat clear","Somewhat likely","Very worried","Somewhat worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Definitely too broad","Definitely too broad","Protecting free expression","Wrong direction","Always","Mostly acceptable","Completely acceptable","Very uncomfortable","Very unimportant","Very unimportant","Very unimportant","Very unimportant","Neither important nor unimportant","Somewhat unimportant","Somewhat unimportant","Very unimportant","Very unimportant","Strongly support this","Strongly support this","Strongly support this","Strongly support this","Neither justified nor unjustified","Neither justified nor unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is never justifiable","This is never justifiable","Very hostile","Very often, nearly every day","Never","Sometimes","Never","Never","Never","Never","Very positive fit","Very poor fit","Often","Never","Often","Never","Sometimes","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Somewhat familiar","Chaired or Distinguished Professor","International / comparative law","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Conservative","conservative","Strong Republican","65+","Mainline Protestant",
"Occasionally","Extremely clear","Not very likely","Not too worried","Not at all worried","Complete protection","Complete protection","Complete protection","Complete protection","Complete protection","Strikes an appropriate balance–is neither too narrow nor too broad","Definitely too broad","Protecting free expression","Right track","Always","Mostly acceptable","Completely acceptable","Somewhat comfortable","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Somewhat unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Strongly support this position","Strongly support this position","This is rarely justifiable","This is rarely justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Somewhat positive fit","Somewhat poor fit","Often","Never","Never","Never","Never","Never","An adversarial context (e.g., Socratic dialogue, enforced grading curve)","Somewhat familiar","Chaired or Distinguished Professor","Criminal procedure","J.D.",,"LLM or Masters",,,"Male","White or Caucasian","Conservative","conservative","Lean Republican","55-64","Atheist",
"Rarely","Somewhat clear","Not very likely","Not at all worried","Not at all worried","Some protection","Don’t know / uncertain","Some protection","Don’t know / uncertain","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Struck an appropriate balance–was neither too narrow nor too broad","Protecting free expression","Wrong direction","Often","Mostly unacceptable","Completely acceptable","Somewhat comfortable","Somewhat important","Very important","Very important","Somewhat unimportant","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Somewhat support this","Somewhat support this","Somewhat support this","Somewhat justified","Somewhat unjustified","Judges are a mix of politically motivated and politically neutral.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Strongly support this position","Strongly support this position","This is often justifiable","This is often justifiable","Somewhat supportive","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Somewhat positive fit","Somewhat poor fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","Never heard of it","Emeriti","Business law / business organizations / commercial litigation","J.D.",,,,,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","65+","Jewish",
"Fairly often, a couple times a week","Somewhat clear","Somewhat likely","Somewhat worried","Not too worried","Some protection","Some protection","Some protection","Some protection","Some protection","Strikes an appropriate balance–is neither too narrow nor too broad","Probably too broad","Protecting free expression","Wrong direction","Sometimes","Mostly acceptable","Mostly acceptable","Somewhat uncomfortable","Very important","Very important","Very important","Very important","Very important","Somewhat important","Very important","Very important","Very important","Strongly oppose this","Strongly support this","Somewhat support this","Neither oppose nor support","Unjustified","Extremely unjustified","Judges are mostly politically motivated.","I don’t characterize judges’ decision making as either politically motivated or politically neutral.","Somewhat support this position","Somewhat support this position","This is rarely justifiable","This is rarely justifiable","Somewhat supportive","Occasionally, once or twice a month","Never","Never","Never","Never","Never","Never","Very positive fit","Very positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","I’ve heard of it, but I don’t know much about it","Associate Professor","Business law / business organizations / commercial litigation","J.D.",,,"Research doctorate (e.g., PhD, SJD, EdD)",,"Male","White or Caucasian","Liberal","liberal","Strong Democrat","35-44","Jewish",
"Occasionally","Somewhat clear","Somewhat likely","Somewhat worried","Not too worried","Some protection","Complete protection","Complete protection","Complete protection","Complete protection","Probably too broad","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Completely acceptable","Completely acceptable","Somewhat comfortable","Very important","Somewhat important","Very important","Somewhat important","Very important","Very important","Very important","Somewhat important","Somewhat important","Somewhat support this","Strongly support this","Strongly support this","Strongly support this","Unjustified","Unjustified","Judges are a mix of politically motivated and politically neutral.","Judges are a mix of politically motivated and politically neutral.","Somewhat support this position","Neither oppose nor support","This is often justifiable","This is often justifiable","Somewhat supportive","Rarely","Sometimes","Never","Rarely","Never","Rarely","Never","Somewhat positive fit","Neither poor nor positive fit","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither / don’t know","Never heard of it","Adjunct / Lecturer",,"J.D.",,,,,"Female","White or Caucasian","Very liberal","liberal","Something else (please specify)","21-34","Nothing in Particular",
"Never","Very clear","Not very likely","Not at all worried","Not at all worried","Some protection","Some protection","Some protection","Some protection","Some protection","Probably too narrow","Don’t know / uncertain","Promoting equality and inclusion and protecting free expression should not be in conflict, and are both a priority","Right track","Often","Mostly unacceptable","Mostly unacceptable","Very comfortable","Very important","Very important",,"Somewhat important","Very important","Very important","Very important","Very important","Very important","Somewhat support this","Strongly support this","Strongly support this","Neither oppose nor support","Extremely unjustified","Extremely unjustified","Judges are mostly politically motivated.","Judges are mostly politically motivated.","Somewhat support this position","Somewhat support this position","This is always justifiable","This is always justifiable","Neither supportive nor hostile","Never","Never","Never","Never","Never","Never","Never","Neither poor nor positive fit","Neither poor nor positive fit","Never","Never","Never","Never","Never","Never","A non-adversarial context (e.g., Didactic lecturing, standardized grading)","Never heard of it","Adjunct / Lecturer","Criminal law","J.D.",,,,,"Male","Black or African American","Liberal","liberal","Something else (please specify)","35-44","Mainline Protestant",
