Variable,VariableLabel,Value,ValueLabel
weight,National weight,,
,,,
schoolUniverse_weight,National weight based only on schools sampled,,
,,,
schoolweight,School weight,,
,,,
submitted_at,Date and time of survey completion,,
,,,
insttype,Type of school,,
,,,
age,How old are you?,-99,Other
,,,
financialaid,Do you receive financial aid?,1,Yes
,,2,No
,,3,Other
,,,
gender,Which of the following genders do you most identify with?,1,Male
,,2,Female
,,3,Gender non-conforming
,,,
geography,"What region of the US is your hometown in, or are you an international student?",1,New England
,,2,Mid-Atlantic
,,3,Midwest
,,4,South
,,5,West
,,6,Non-Continental
,,7,International
,,8,Other
,,,
highschool,What type of high school did you go to?,1,Public
,,2,Public charter
,,3,Public magnet
,,4,Parochial
,,5,Private
,,6,Homeschool
,,7,Other
,,,
major1,"Please select your department/your major(s), or intended major(s)",1,Accounting
,,2,African/Afr-American Studies
,,3,Agricultural/Food Sciences
,,4,Animal Science
,,5,Anthropology
,,6,Archaeology
,,7,Architecture
,,8,Art History
,,9,Asian/Mideast Lang & Lit
,,10,Asian/Mideast Studies
,,11,Physics and Astronomy
,,12,Biochemistry and Molecular Biology
,,13,Biological Sciences
,,14,Business
,,15,Chemistry
,,16,Classics
,,17,Cognitive Science
,,18,Communication
,,19,Computer Science
,,20,Dance
,,21,Data Science
,,22,Development Studies
,,23,Digital Media Design
,,24,Earth Sciences
,,25,Economics
,,26,Education
,,27,Engineering Sciences
,,28,English
,,29,Environmental Studies
,,30,Ethnicity and Race Studies
,,31,European Cultural Studies
,,32,Fashion
,,33,Film and Media Studies
,,34,Finance
,,35,Fine Arts
,,36,French and Italian
,,37,Geography
,,38,German Studies
,,39,History
,,40,Hotel Administration
,,41,International Relations
,,42,Jewish Studies
,,43,Lat Am/Latino/Carib Studies
,,44,Law/Criminology
,,45,Linguistics
,,46,Marketing
,,47,Mathematics
,,48,Music
,,50,Neuroscience
,,51,Nursing
,,52,Philosophy
,,53,Physical Education
,,54,Political Science
,,55,Portuguese and Brazilian Studies
,,56,Pre-Medical
,,57,Psychological and Brain Sciences
,,58,Public Health
,,59,Public Policy
,,61,Real Estate
,,62,Religion
,,63,Robotics and Intelligent Systems
,,65,Sociology
,,66,Spanish and Portuguese
,,67,Statistics
,,68,Studio Art
,,69,Theater
,,70,Undecided
,,71,Urban Studies
,,72,Visual Arts
,,73,Women's and Gender Studies (and Sexuality)
,,74,other
,,,
major2,"Please select your department/your major(s), or intended major(s)",1,Accounting
,,2,African/Afr-American Studies
,,3,Agricultural/Food Sciences
,,4,Animal Science
