ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
1,American University,American University,No,,,,,,,,No,,,,,Not Applicable,,,matched_to_cfsr2025,0,,,,
2,Amherst College,Amherst College,No,,,,,,,,No,,,,,Not Applicable,195,Yellow,matched_to_cfsr2025,0,,,,
3,Appalachian State University,Appalachian State University,No,,,,,,,,No,,,,,Not Applicable,36,Green,matched_to_cfsr2025,0,,,,
4,Arizona State University-Tempe,Arizona State University,Yes,,4/26/2024,https://www.fox10phoenix.com/news/pro-palestinian-protesters-gather-on-arizona-state-universitys-tempe-campus,,,,,Yes,72.0,https://www.azcentral.com/story/news/local/tempe/2024/05/01/gaza-protests-who-was-arrested-at-asu/73523153007/,,4/27/24,Yes,77,Green,matched_to_cfsr2025,1,,,,reviewed_ok
5,Arkansas State University-Main Campus,Arkansas State University,No,,,https://www.arkansasonline.com/news/2024/mar/09/dozens-of-people-on-university-of-arkansas-campus/,,,,,No,,,,,Not Applicable,35,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
6,Auburn University,Auburn University,No,,,,,,,,No,,,,,Not Applicable,2,Green,matched_to_cfsr2025,0,,,,
7,Bard College,Bard College,Yes,Yes,5/8/2024,https://www.dailyfreeman.com/2024/05/08/student-activists-begin-pro-palestinian-encampment-at-bard-college/,,,,,No,,,,,No,200,Yellow,matched_to_cfsr2025,0,,,,
8,Barnard College,Barnard College,Yes,,4/19/2024,https://www.columbiaspectator.com/news/2024/04/23/over-100-faculty-members-protest-in-rally-to-support-our-students-and-reclaim-our-university/,,,,at columbia,Yes,217.0,same as Columbia,,various,Yes,164,Yellow,matched_to_cfsr2025,0,,,,
9,Bates College,Bates College,No,,,,,,,,No,,,,,Not Applicable,213,Red,matched_to_cfsr2025,0,,,,
10,Baylor University,Baylor University,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Baylor University,"2021, 2022, 2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
