year,topic,variable,estimate,n_valid,sum_weight,kish_n,se,ci_low,ci_high
2020,Israeli-Palestinian conflict,tk_ipc,29.726806546405527,20002,20063.43665781617,13116.04205680335,0.3990869925585978,28.94459604099067,30.50901705182038
2020,Abortion,tk_abortion,45.129662662702856,20002,20063.43665781617,13116.04205680335,0.43450868184788904,44.278025646280994,45.98129967912472
2020,Transgender rights,tk_trans,39.49699001976445,20002,20063.43665781617,13116.04205680335,0.42684391083109174,38.66037595453552,40.3336040849934
2021,Israeli-Palestinian conflict,tk_ipc,30.16632118271401,37104,37060.00149193406,24915.182305016006,0.2907780376199015,29.596396228979003,30.73624613644902
2021,Abortion,tk_abortion,45.700872329757715,37104,37060.00149193406,24915.182305016006,0.31559247302281335,45.082311082633,46.31943357688243
2021,Transgender rights,tk_trans,41.933448578971074,37104,37060.00149193406,24915.182305016006,0.31261605072753307,41.320721119545105,42.546176038397036
2022,Israeli-Palestinian conflict,tk_ipc,30.91199174001964,44846,44787.10782265663,21812.61078664136,0.3129039211855705,30.29870005449592,31.52528342554336
2022,Abortion,tk_abortion,48.93501195155377,44846,44787.10782265663,21812.61078664136,0.33846802060262193,48.27161463117263,49.598409271934905
2022,Transgender rights,tk_trans,44.18451431983287,44846,44787.10782265663,21812.61078664136,0.33624711887642406,43.525469966835075,44.84355867283066
2023,Israeli-Palestinian conflict,tk_ipc,25.8194575602825,55102,55058.09028446674,31961.708269586135,0.24479557763015447,25.339658228127398,26.2992568924376
2023,Abortion,tk_abortion,49.41008089474984,55102,55058.09028446674,31961.708269586135,0.27965641329907476,48.86195432468365,49.95820746481603
2023,Transgender rights,tk_trans,41.88131326609279,55102,55058.09028446674,31961.708269586135,0.27596439331015704,41.34042305520488,42.4222034769807
2024,Israeli-Palestinian conflict,tk_ipc,54.872616469636384,58316,58288.387941283,34934.3022229241,0.26623912356434654,54.35078778745026,55.3944451518225
2024,Abortion,tk_abortion,45.027137644620716,58316,58288.387941283,34934.3022229241,0.26618606044981946,44.505412966139076,45.54886232310236
2024,2024 presidential election,tk_preselec,30.853030086282317,58316,58288.387941283,34934.3022229241,0.24712088557570341,30.36867315055394,31.3373870220107
2024,Transgender rights,tk_trans,41.57184021105153,58316,58288.387941283,34934.3022229241,0.26368455499975646,41.055018483252006,42.088661938851054
2025,Israeli-Palestinian conflict,tk_ipc,53.25475686333504,68446,68380.37175521255,36450.14202535241,0.2613354359728583,52.742539408828236,53.76697431784184
2025,Abortion,tk_abortion,45.63912428907492,68446,68380.37175521255,36450.14202535241,0.26089290047093844,45.12777420415188,46.150474373997966
2025,2024 presidential election,tk_preselec,42.22909636478405,68446,68380.37175521255,36450.14202535241,0.2587085977911724,41.722027513113346,42.736165216454744
2025,Transgender rights,tk_trans,40.75584695524982,68446,68380.37175521255,36450.14202535241,0.2573760293362142,40.25138993775085,41.2603039727488
2026,Israeli-Palestinian conflict,tk_ipc,49.59674954562176,62997,62996.58660746562,43294.131131406175,0.24029313613696704,49.125774998793304,50.06772409245022
2026,Abortion,tk_abortion,43.48706255410874,62997,62996.58660746562,43294.131131406175,0.2382535955025163,43.02008550692381,43.95403960129367
2026,2024 presidential election,tk_preselec,28.785876033234743,62997,62996.58660746562,43294.131131406175,0.21759969354194106,28.35938063389254,29.212371432576944
2026,Transgender rights,tk_trans,37.81326851679266,62997,62996.58660746562,43294.131131406175,0.23305394603506968,37.35648278256392,38.2700542510214
2026,Donald Trump (new in 2026),tk_trump,45.59574675191242,62997,62996.58660746562,43294.131131406175,0.23936689103148975,45.1265876454907,46.064905858334136
2026,Charlie Kirk (new in 2026),tk_charliekirk,43.88767528490522,62997,62996.58660746562,43294.131131406175,0.23849863911465036,43.420217952240506,44.355132617569936
