measure,units,estimate_2025,estimate_2026,change_2025_to_2026
Violence at least rarely acceptable,percentage points,33.62234355234491,30.486167570801033,-3.1361759815438752
Shoutdowns at least rarely acceptable,percentage points,71.71052871631733,68.91396598283765,-2.796562733479675
Tolerance for left-wing speakers,points on 0–100 scale,41.2149064171123,41.18776308142095,-0.027143335691356185
Tolerance for right-wing speakers,points on 0–100 scale,33.12722816399287,32.5423523172691,-0.5848758467237687
Comfort: Publicly disagree with a professor,points on 1–4 scale,2.2690466719911977,2.3499635853687124,0.08091691337751472
Comfort: Disagree in a written assignment,points on 1–4 scale,2.4828063064262547,2.5516755324900107,0.068869226063756
Comfort: Express views in class,points on 1–4 scale,2.437462028508387,2.516480918719745,0.07901889021135844
Comfort: Discuss views in a campus common space,points on 1–4 scale,2.5169501924040665,2.623284471963114,0.1063342795590474
Comfort: Post an unpopular opinion on social media,points on 1–4 scale,2.1201277105142706,2.197461928888945,0.07733421837467436
Difficult topic: Israeli-Palestinian conflict,percentage points,53.25475686333504,49.59674954562176,-3.6580073177132775
Difficult topic: Abortion,percentage points,45.63912428907492,43.48706255410874,-2.152061734966182
Difficult topic: 2024 presidential election,percentage points,42.22909636478405,28.785876033234743,-13.443220331549306
Difficult topic: Transgender rights,percentage points,40.75584695524982,37.81326851679266,-2.9425784384571614
